topic_id,df,label
понять,21,понять
прав,21,прав
также,21,также
вульф,21,вульф
одна,21,одна
кошка,21,кошка
похоже,21,похоже
последний,21,последний
алкоголь,21,алкоголь
интересная,21,интересная
самый,21,самый
думать,21,думать
долбаеб,21,долбаеб
наоборот,21,наоборот
могут,21,могут
заебся,21,заебся
ясно,21,ясно
заебали,21,заебали
жеж,21,жеж
мной,21,мной
этому,21,этому
прикол,21,прикол
ними,20,ними
чувствую,20,чувствую
логично,20,логично
зашел,20,зашел
женщина,20,женщина
отдыхай,20,отдыхай
здорово,20,здорово
выход,20,выход
небось,20,небось
какую,20,какую
поняв,20,поняв
настроение,20,настроение
чутарик,20,чутарик
единственное,20,единственное
сидел,20,сидел
заебись,20,заебись
баженом,20,баженом
играешь,20,играешь
движения,20,движения
ебанись,20,ебанись
народ,20,народ
пожилая,20,пожилая
суки,20,суки
другому,20,другому
другого,20,другого
интересный,20,интересный
стрим,20,стрим
две,20,две
получилось,20,получилось
улице,20,улице
попробовать,20,попробовать
израиле,20,израиле
ебана,20,ебана
чому,20,чому
идет,20,идет
путь,20,путь
хотят,20,хотят
сон,20,сон
голове,20,голове
ляяя,19,ляяя
твое,19,твое
россии,19,россии
дал,19,дал
зайбал,19,зайбал
хуйню,19,хуйню
москва,19,москва
лег,19,лег
аааааа,19,аааааа
ицхак,19,ицхак
ждать,19,ждать
детей,19,детей
приятно,19,приятно
другое,19,другое
скажу,19,скажу
мдэ,19,мдэ
седня,19,седня
пил,19,пил
исаака,19,исаака
слушал,19,слушал
допустим,19,допустим
делают,19,делают
вышла,19,вышла
общине,19,общине
канал,19,канал
случайно,19,случайно
смысл,19,смысл
игру,19,игру
якуб,19,якуб
поиграть,19,поиграть
пишу,19,пишу
давид,19,давид
руки,19,руки
понравился,19,понравился
ебатт,19,ебатт
вск,19,вск
хату,19,хату
йося,19,йося
зайду,19,зайду
зря,19,зря
никого,19,никого
говоришь,19,говоришь
кто-то,19,кто-то
итак,19,итак
бажена,19,бажена
джойстик,18,джойстик
прошло,18,прошло
соби,18,соби
попросил,18,попросил
вернулся,18,вернулся
посмотрим,18,посмотрим
рисую,18,рисую
новые,18,новые
кино,18,кино
рассказывал,18,рассказывал
всетаки,18,всетаки
представляю,18,представляю
youtube,18,youtube
говори,18,говори
посидели,18,посидели
дать,18,дать
игра,18,игра
русские,18,русские
грит,18,грит
попробую,18,попробую
холодно,18,холодно
погодка,18,погодка
таком,18,таком
баля,18,баля
фух,18,фух
еда,18,еда
дзержинске,18,дзержинске
звонил,18,звонил
общины,18,общины
задание,18,задание
той,18,той
расскажи,18,расскажи
легко,18,легко
братик,18,братик
друзья,18,друзья
вопросы,18,вопросы
кися,18,кися
бачив,18,бачив
другие,18,другие
случилось,18,случилось
удобно,18,удобно
шабес,18,шабес
пожилой,18,пожилой
дали,18,дали
тему,18,тему
пишешь,17,пишешь
итоге,17,итоге
вышло,17,вышло
пол,17,пол
ожидал,17,ожидал
ссылку,17,ссылку
всякие,17,всякие
директор,17,директор
выбор,17,выбор
чет,17,чет
прочитал,17,прочитал
резко,17,резко
ютуб,17,ютуб
ночи,17,ночи
часть,17,часть
любовь,17,любовь
мысль,17,мысль
охота,17,охота
огонь,17,огонь
хуею,17,хуею
гпт,17,гпт
любит,17,любит
нижнего,17,нижнего
нишо,17,нишо
идти,17,идти
печально,17,печально
тов,17,тов
открыл,17,открыл
интересное,17,интересное
меоц,17,меоц
сидит,17,сидит
нового,17,нового
покупать,17,покупать
ебаная,17,ебаная
ушел,17,ушел
вспомнил,17,вспомнил
смысле,17,смысле
впн,17,впн
подумать,17,подумать
чай,17,чай
пизду,17,пизду
взяли,17,взяли
практически,17,практически
пор,17,пор
оказалось,17,оказалось
файл,17,файл
was,16,was
людям,16,людям
вполне,16,вполне
меньше,16,меньше
пацанов,16,пацанов
система,16,система
попробуй,16,попробуй
четко,16,четко
писать,16,писать
настолько,16,настолько
прошлый,16,прошлый
нужны,16,нужны
попробывать,16,попробывать
кросивое,16,кросивое
вместе,16,вместе
штука,16,штука
моей,16,моей
получше,16,получше
например,16,например
выглядит,16,выглядит
кыся,16,кыся
родители,16,родители
боюсь,16,боюсь
залупа,16,залупа
между,16,между
ремонт,16,ремонт
блят,16,блят
наушники,16,наушники
